timestamp,open,high,low,close,volume
2024-12-15T07:00:00.000Z,101743.27,101933.12,101516.72,101714.23,143.05862985
2024-12-15T08:00:00.000Z,101714.23,101997.35,101556.35,101989.01,73.81357494
2024-12-15T09:00:00.000Z,101989,102232.36,101893.12,102224.3,100.63320511
2024-12-15T10:00:00.000Z,102224.29,102420.55,102124.55,102244.71,100.74854406
2024-12-15T11:00:00.000Z,102244.71,102650.93,102205.77,102634.73,136.76177042
2024-12-15T12:00:00.000Z,102634.74,103292.44,102494.26,102906.13,418.70628951
2024-12-15T13:00:00.000Z,102906.13,102954.66,102422.74,102747.55,204.23827147
2024-12-15T14:00:00.000Z,102748.58,103024.01,102608.2,102941.11,191.48548893
2024-12-15T15:00:00.000Z,102943.82,103000,102654.32,102665.9,221.9515892
2024-12-15T16:00:00.000Z,102665.9,103454.27,102546.8,103073.67,666.41113888
2024-12-15T17:00:00.000Z,103073.67,103333,102940.75,103126.83,364.93960255
2024-12-15T18:00:00.000Z,103126.83,103322.62,102955.15,103156.62,205.2417084
2024-12-15T19:00:00.000Z,103156.68,103400,103142.41,103218.36,162.74010923
2024-12-15T20:00:00.000Z,103216.28,103382.44,103015.83,103107.74,199.91790557
2024-12-15T21:00:00.000Z,103107.74,103167.93,102620,102841.61,290.52969099
2024-12-15T22:00:00.000Z,102841.61,103373.16,102603.94,103245.47,253.60927027
2024-12-15T23:00:00.000Z,103247.81,105100,103213.79,104447.76,2364.72448356
2024-12-16T00:00:00.000Z,104445.15,106554.39,104293.75,105382.69,1682.82141906
2024-12-16T01:00:00.000Z,105382.81,105514.19,104911.74,105493.03,639.47261097
2024-12-16T02:00:00.000Z,105493.02,105617.04,104407.48,104546.33,563.49790033
2024-12-16T03:00:00.000Z,104543.62,104959.99,104227.01,104553.11,424.45841635
2024-12-16T04:00:00.000Z,104551.59,104772.71,104428.02,104645.83,282.28343373
2024-12-16T05:00:00.000Z,104645.82,105053.82,104447.57,104996.09,230.01564057
2024-12-16T06:00:00.000Z,105001.7,105332,104920,105131.8,247.63752811
2024-12-16T07:00:00.000Z,105131.79,105379.27,104850.51,104957.19,172.52561069
2024-12-16T08:00:00.000Z,104957.19,104996.73,104473.14,104494.64,237.06857126
2024-12-16T09:00:00.000Z,104494.66,104915.89,104461.58,104652.97,311.81125645
2024-12-16T10:00:00.000Z,104652.97,104701.71,104309.3,104640.44,200.20643344
2024-12-16T11:00:00.000Z,104640.45,104814.54,103600,103730.27,280.73214584
2024-12-16T12:00:00.000Z,103727.11,104111.67,103289.21,103595.97,452.84637931
2024-12-16T13:00:00.000Z,103595.96,104099.65,103417,103854.16,404.34685525
2024-12-16T14:00:00.000Z,103855.67,106019.02,103830.01,105489.76,1969.80861285
2024-12-16T15:00:00.000Z,105489.77,106542,105269.52,106399.36,2919.48199656
2024-12-16T16:00:00.000Z,106399.36,107172.91,106179.09,106837.98,2588.31273836
2024-12-16T17:00:00.000Z,106837.22,107240.17,106714.01,107126.77,1814.35338402
2024-12-16T18:00:00.000Z,107126.78,107857.79,106926.83,107166.18,2376.67212137
2024-12-16T19:00:00.000Z,107166.19,107173.98,105807.26,106621.68,1666.54250965
2024-12-16T20:00:00.000Z,106621.68,106710.23,105787.97,105848.66,1532.14668045
2024-12-16T21:00:00.000Z,105851.43,106308.3,105698.01,106075.91,603.71233566
2024-12-16T22:00:00.000Z,106075.91,106324.48,105745.38,105849.55,624.08523778
2024-12-16T23:00:00.000Z,105849.56,106100,105500,106099.81,351.03921085
2024-12-17T00:00:00.000Z,106099.98,106280,105699.99,105890.37,388.53994308
2024-12-17T01:00:00.000Z,105890.68,106475.5,105775.69,106395.46,296.50889777
